Match Gap,Month,Date,Date_Converted,MathType,Season,HomeAway,Team_Name,Team,TeamRanking,Home,Home_Ranking,Away,Away_Ranking,FinalScore,ScoreGoal,GetGoal,Results,PreScoreGoal,PrePreScoreGoal,PreGetGoal,PrePreGetGoal,Ramos_Position,RamosTime,RamosGoal,RamosAss
3,10,2005. 10. 26,"Oct 26, 2005",1,05/06,1,Deportivo de La Coruña,26,9,Deportivo de La Coruña,Dep. La Coruña  (9.),Real Madrid,Real Madrid  (1.),3:1,1,3,2,1,4,2,1,CB,90,0,0
3,10,2005. 10. 29,"Oct 29, 2005",1,05/06,1,Real Betis Balompié,62,14,Real Betis Balompié,Real Betis  (14.),Real Madrid,Real Madrid  (3.),0:2,2,0,0,1,1,3,2,DM,90,0,0
3,11,2005. 11. 1,"Nov 1, 2005",0,05/06,1,Rosenborg BK,69,0,Rosenborg BK,,Real Madrid,,0:2,2,0,0,2,1,0,3,DM,90,0,0
5,11,2005. 11. 6,"Nov 6, 2005",1,05/06,0,Real Zaragoza,67,14,Real Madrid,Real Madrid  (1.),Real Zaragoza,Real Zaragoza  (14.),1:0,1,0,0,2,2,0,0,DM,90,0,0
13,11,2005. 11. 19,"Nov 19, 2005",1,05/06,0,FC Barcelona,30,2,Real Madrid,Real Madrid  (3.),FC Barcelona,FC Barcelona  (2.),0:3,0,3,2,1,2,0,0,CB,90,0,0
4,11,2005. 11. 23,"Nov 23, 2005",0,05/06,0,Olympique Lyon,54,0,Real Madrid,,Olympique Lyon,,1:1,1,1,1,0,1,3,0,DM,90,0,0
4,11,2005. 11. 27,"Nov 27, 2005",1,05/06,1,Real Sociedad,64,10,Real Sociedad,Real Sociedad  (10.),Real Madrid,Real Madrid  (4.),2:2,2,2,1,1,0,1,3,DM,90,0,0
6,12,2005. 12. 3,"Dec 3, 2005",1,05/06,0,Getafe CF,37,8,Real Madrid,Real Madrid  (6.),Getafe CF,Getafe  (8.),1:0,1,0,0,2,1,2,1,not in squad,74,0,0
3,12,2005. 12. 6,"Dec 6, 2005",0,05/06,1,Olympiacos Piraeus,53,0,Olympiacos Piraeus,,Real Madrid,,2:1,1,2,2,1,2,0,2,CB,0,0,0
5,12,2005. 12. 11,"Dec 11, 2005",1,05/06,1,Málaga CF,48,12,Málaga CF,Málaga CF  (12.),Real Madrid,Real Madrid  (4.),0:2,2,0,0,1,1,2,0,,90,1,0
7,12,2005. 12. 18,"Dec 18, 2005",1,05/06,0,CA Osasuna,14,2,Real Madrid,Real Madrid  (3.),CA Osasuna,CA Osasuna  (2.),1:1,1,1,1,2,1,0,2,DM,90,1,0
3,12,2005. 12. 21,"Dec 21, 2005",1,05/06,0,Racing Santander,58,14,Real Madrid,Real Madrid  (3.),Racing Santander,Racing  (14.),1:2,1,2,2,1,2,1,0,DM,90,0,0
13,1,2006. 1. 3,"Jan 3, 2006",2,05/06,1,Athletic Bilbao,8,21,Athletic Bilbao,,Real Madrid,,0:1,1,0,0,1,1,2,1,,90,0,0
5,1,2006. 1. 8,"Jan 8, 2006",1,05/06,1,Villarreal CF,89,4,Villarreal CF,Villarreal  (4.),Real Madrid,Real Madrid  (5.),0:0,0,0,1,1,1,0,2,DM,90,0,0
3,1,2006. 1. 11,"Jan 11, 2006",2,05/06,0,Athletic Bilbao,8,21,Real Madrid,,Athletic Bilbao,,4:0,4,0,0,0,1,0,0,,90,0,0
4,1,2006. 1. 15,"Jan 15, 2006",1,05/06,0,Sevilla FC,73,7,Real Madrid,Real Madrid  (6.),Sevilla FC,Sevilla FC  (7.),4:2,4,2,0,4,0,0,0,CB,90,1,0
3,1,2006. 1. 18,"Jan 18, 2006",2,05/06,1,Real Betis Balompié,62,21,Real Betis Balompié,,Real Madrid,,0:1,1,0,0,4,4,2,0,,90,0,0
3,1,2006. 1. 21,"Jan 21, 2006",1,05/06,0,Cádiz CF,15,15,Real Madrid,Real Madrid  (4.),Cádiz CF,Cádiz CF  (15.),3:1,3,1,0,1,4,0,2,,90,0,0
4,1,2006. 1. 25,"Jan 25, 2006",2,05/06,0,Real Betis Balompié,62,21,Real Madrid,,Real Betis Balompié,,1:0,1,0,0,3,1,1,0,,90,0,0
4,1,2006. 1. 29,"Jan 29, 2006",1,05/06,1,Celta de Vigo,20,7,Celta de Vigo,Celta de Vigo  (7.),Real Madrid,Real Madrid  (4.),1:2,2,1,0,1,3,0,1,,90,0,0
6,2,2006. 2. 4,"Feb 4, 2006",1,05/06,0,RCD Espanyol Barcelona,60,13,Real Madrid,Real Madrid  (3.),RCD Espanyol Barcelona,Espanyol  (13.),4:0,4,0,0,2,1,1,0,not in squad,90,0,0
4,2,2006. 2. 8,"Feb 8, 2006",2,05/06,1,Real Zaragoza,67,21,Real Zaragoza,,Real Madrid,,6:1,1,6,2,4,2,0,1,CB,0,0,0
3,2,2006. 2. 11,"Feb 11, 2006",1,05/06,1,Athletic Bilbao,8,18,Athletic Bilbao,Athletic  (18.),Real Madrid,Real Madrid  (3.),0:2,2,0,0,1,4,6,0,CB,90,0,0
3,2,2006. 2. 14,"Feb 14, 2006",2,05/06,0,Real Zaragoza,67,21,Real Madrid,,Real Zaragoza,,4:0,4,0,0,2,1,0,6,,90,0,0
4,2,2006. 2. 18,"Feb 18, 2006",1,05/06,0,Deportivo Alavés,25,15,Real Madrid,Real Madrid  (3.),Deportivo Alavés,Alavés  (15.),3:0,3,0,0,4,2,0,0,,90,0,0
3,2,2006. 2. 21,"Feb 21, 2006",0,05/06,0,Arsenal FC,6,0,Real Madrid,,Arsenal FC,,0:1,0,1,2,3,4,0,0,CB,90,0,0
5,2,2006. 2. 26,"Feb 26, 2006",1,05/06,1,RCD Mallorca,61,18,RCD Mallorca,RCD Mallorca  (18.),Real Madrid,Real Madrid  (3.),2:1,1,2,2,0,3,1,0,,90,0,0
7,3,2006. 3. 5,"Mar 5, 2006",1,05/06,0,Atlético Madrid,9,9,Real Madrid,Real Madrid  (3.),Atlético Madrid,Atlético Madrid  (9.),2:1,2,1,0,1,0,2,1,not in squad,90,1,0
3,3,2006. 3. 8,"Mar 8, 2006",0,05/06,1,Arsenal FC,6,0,Arsenal FC,,Real Madrid,,0:0,0,0,1,2,1,1,2,CB,0,0,0
4,3,2006. 3. 12,"Mar 12, 2006",1,05/06,1,Valencia CF,87,3,Valencia CF,Valencia  (3.),Real Madrid,Real Madrid  (2.),0:0,0,0,1,0,2,0,1,DM,90,0,0
7,3,2006. 3. 19,"Mar 19, 2006",1,05/06,0,Real Betis Balompié,62,18,Real Madrid,Real Madrid  (2.),Real Betis Balompié,Real Betis  (18.),0:0,0,0,1,0,0,0,0,,90,0,0
3,3,2006. 3. 22,"Mar 22, 2006",1,05/06,1,Real Zaragoza,67,10,Real Zaragoza,Real Zaragoza  (10.),Real Madrid,Real Madrid  (2.),1:1,1,1,1,0,0,0,0,CB,90,0,0
4,3,2006. 3. 26,"Mar 26, 2006",1,05/06,0,Deportivo de La Coruña,26,6,Real Madrid,Real Madrid  (3.),Deportivo de La Coruña,Dep. La Coruña  (6.),4:0,4,0,0,1,0,1,0,CB,90,0,0
7,4,2006. 4. 2,"Apr 2, 2006",1,05/06,1,FC Barcelona,30,1,FC Barcelona,FC Barcelona  (1.),Real Madrid,Real Madrid  (2.),1:1,1,1,1,4,1,0,1,CB,90,1,0
7,4,2006. 4. 9,"Apr 9, 2006",1,05/06,0,Real Sociedad,64,18,Real Madrid,Real Madrid  (2.),Real Sociedad,Real Sociedad  (18.),1:1,1,1,1,1,4,1,0,CB,90,0,0
7,4,2006. 4. 16,Apr 16 2006,1,05/06,1,Getafe CF,37,9,Getafe CF,Getafe  (9.),Real Madrid,Real Madrid  (2.),1:1,1,1,1,1,1,1,1,CB,90,0,0
7,4,2006. 4. 23,"Apr 23, 2006",1,05/06,0,Málaga CF,48,20,Real Madrid,Real Madrid  (3.),Málaga CF,Málaga CF  (20.),2:1,2,1,0,1,1,1,1,CB,90,0,0
7,4,2006. 4. 30,"Apr 30, 2006",1,05/06,1,CA Osasuna,14,4,CA Osasuna,CA Osasuna  (4.),Real Madrid,Real Madrid  (3.),0:1,1,0,0,2,1,1,1,CB,90,1,0
4,5,2006. 5. 4,"May 4, 2006",1,05/06,1,Racing Santander,58,15,Racing Santander,Racing  (15.),Real Madrid,Real Madrid  (3.),2:3,3,2,0,1,2,0,1,CB,90,0,0
3,5,2006. 5. 7,"May 7, 2006",1,05/06,0,Villarreal CF,89,8,Real Madrid,Real Madrid  (2.),Villarreal CF,Villarreal  (8.),3:3,3,3,1,3,1,2,0,CB,90,0,0
9,5,2006. 5. 16,"May 16, 2006",1,05/06,1,Sevilla FC,73,4,Sevilla FC,Sevilla FC  (4.),Real Madrid,Real Madrid  (2.),4:3,3,4,2,3,3,3,2,CB,85,0,0
103,8,2006. 8. 27,"Aug 27, 2006",1,06/07,0,Villarreal CF,89,5,Real Madrid,Real Madrid  (1.),Villarreal CF,Villarreal  (5.),0:0,0,0,1,3,3,4,3,not in squad,90,0,0
14,9,2006. 9. 10,"Sep 10, 2006",1,06/07,1,Levante UD,46,20,Levante UD,Levante  (20.),Real Madrid,Real Madrid  (12.),1:4,4,1,0,0,3,0,4,,0,0,0
3,9,2006. 9. 13,"Sep 13, 2006",0,06/07,1,Olympique Lyon,54,0,Olympique Lyon,Olympique Lyon,Real Madrid,Real Madrid,2:0,0,2,2,4,0,1,0,CB,90,0,0
4,9,2006. 9. 17,"Sep 17, 2006",1,06/07,0,Real Sociedad,64,15,Real Madrid,Real Madrid  (5.),Real Sociedad,Real Sociedad  (15.),2:0,2,0,0,0,4,2,1,CB,90,0,0
6,9,2006. 9. 23,"Sep 23, 2006",1,06/07,1,Real Betis Balompié,62,10,Real Betis Balompié,Real Betis  (10.),Real Madrid,Real Madrid  (4.),0:1,1,0,0,2,0,0,2,,90,0,0
3,9,2006. 9. 26,"Sep 26, 2006",0,06/07,0,Dynamo Kyiv,27,0,Real Madrid,Real Madrid,Dynamo Kyiv,Dynamo Kyiv,5:1,5,1,0,1,2,0,0,RB,90,0,0
5,10,2006. 10. 1,"Oct 1, 2006",1,06/07,0,Atlético Madrid,9,4,Real Madrid,Real Madrid  (1.),Atlético Madrid,Atlético Madrid  (4.),1:1,1,1,1,5,1,1,0,RB,90,0,0
13,10,2006. 10. 14,"Oct 14, 2006",1,06/07,1,Getafe CF,37,8,Getafe CF,Getafe  (8.),Real Madrid,Real Madrid  (4.),1:0,0,1,2,1,5,1,1,not in squad,63,0,0
3,10,2006. 10. 17,"Oct 17, 2006",0,06/07,1,Steaua Bukarest,79,0,Steaua Bukarest,Steaua Bukarest,Real Madrid,Real Madrid,1:4,4,1,0,0,1,1,1,RB,0,0,0
5,10,2006. 10. 22,"Oct 22, 2006",1,06/07,0,FC Barcelona,30,1,Real Madrid,Real Madrid  (5.),FC Barcelona,FC Barcelona  (1.),2:0,2,0,0,4,0,1,1,RB,90,1,0
3,10,2006. 10. 25,"Oct 25, 2006",2,06/07,1,Écija Balompié,28,21,Écija Balompié,Écija Balompié,Real Madrid,Real Madrid,1:1,1,1,1,2,4,0,1,not in squad,90,0,1
3,10,2006. 10. 28,"Oct 28, 2006",1,06/07,1,Gimnàstic de Tarragona,38,19,Gimnàstic de Tarragona,Gimnàstic  (19.),Real Madrid,Real Madrid  (4.),1:3,3,1,0,1,2,1,0,RB,0,0,0
4,11,2006. 11. 1,"Nov 1, 2006",0,06/07,0,Steaua Bukarest,79,0,Real Madrid,Real Madrid,Steaua Bukarest,Steaua Bukarest,1:0,1,0,0,3,1,1,1,RB,90,0,1
4,11,2006. 11. 5,"Nov 5, 2006",1,06/07,0,Celta de Vigo,20,11,Real Madrid,Real Madrid  (3.),Celta de Vigo,Celta de Vigo  (11.),1:2,1,2,2,1,3,0,1,CB,90,0,0
4,11,2006. 11. 9,"Nov 9, 2006",2,06/07,0,Écija Balompié,28,21,Real Madrid,Real Madrid,Écija Balompié,Écija Balompié,5:1,5,1,0,1,1,2,0,,90,0,0
3,11,2006. 11. 12,"Nov 12, 2006",1,06/07,1,CA Osasuna,14,16,CA Osasuna,CA Osasuna  (16.),Real Madrid,Real Madrid  (4.),1:4,4,1,0,5,1,1,2,,80,0,0
6,11,2006. 11. 18,"Nov 18, 2006",1,06/07,0,Racing Santander,58,14,Real Madrid,Real Madrid  (3.),Racing Santander,Racing  (14.),3:1,3,1,0,4,5,1,1,,90,0,0
3,11,2006. 11. 21,"Nov 21, 2006",0,06/07,0,Olympique Lyon,54,0,Real Madrid,Real Madrid,Olympique Lyon,Olympique Lyon,2:2,2,2,1,3,4,1,1,RB,90,1,0
5,11,2006. 11. 26,"Nov 26, 2006",1,06/07,1,Valencia CF,87,8,Valencia CF,Valencia  (8.),Real Madrid,Real Madrid  (3.),0:1,1,0,0,2,3,2,1,CB,90,0,0
7,12,2006. 12. 3,"Dec 3, 2006",1,06/07,0,Athletic Bilbao,8,18,Real Madrid,Real Madrid  (3.),Athletic Bilbao,Athletic  (18.),2:1,2,1,0,1,2,0,2,CB,90,0,0
3,12,2006. 12. 6,"Dec 6, 2006",0,06/07,1,Dynamo Kyiv,27,0,Dynamo Kyiv,Dynamo Kyiv,Real Madrid,Real Madrid,2:2,2,2,1,2,1,1,0,not in squad,90,0,1
4,12,2006. 12. 10,"Dec 10, 2006",1,06/07,1,Sevilla FC,73,3,Sevilla FC,Sevilla FC  (3.),Real Madrid,Real Madrid  (2.),2:1,1,2,2,2,2,2,1,CB,0,0,0
7,12,2006. 12. 17,"Dec 17, 2006",1,06/07,1,RCD Espanyol Barcelona,60,10,RCD Espanyol Barcelona,Espanyol  (10.),Real Madrid,Real Madrid  (3.),0:1,1,0,0,1,2,2,2,CB,90,0,0
3,12,2006. 12. 20,"Dec 20, 2006",1,06/07,0,Recreativo Huelva,68,8,Real Madrid,Real Madrid  (3.),Recreativo Huelva,Recr. Huelva  (8.),0:3,0,3,2,1,1,0,2,CB,90,0,0
18,1,2007. 1. 7,"Jan 7, 2007",1,06/07,1,Deportivo de La Coruña,26,15,Deportivo de La Coruña,Dep. La Coruña  (15.),Real Madrid,Real Madrid  (3.),2:0,0,2,2,0,1,3,0,LB,90,0,0
4,1,2007. 1. 11,"Jan 11, 2007",2,06/07,1,Real Betis Balompié,62,21,Real Betis Balompié,Real Betis,Real Madrid,Real Madrid,0:0,0,0,1,0,0,2,3,,90,0,0
3,1,2007. 1. 14,"Jan 14, 2007",1,06/07,0,Real Zaragoza,67,5,Real Madrid,Real Madrid  (3.),Real Zaragoza,Real Zaragoza  (5.),1:0,1,0,0,0,0,0,2,not in squad,90,0,0
4,1,2007. 1. 18,"Jan 18, 2007",2,06/07,0,Real Betis Balompié,62,21,Real Madrid,Real Madrid,Real Betis Balompié,Real Betis,1:1,1,1,1,1,0,0,0,,0,0,0
3,1,2007. 1. 21,"Jan 21, 2007",1,06/07,1,RCD Mallorca,61,15,RCD Mallorca,RCD Mallorca  (15.),Real Madrid,Real Madrid  (3.),0:1,1,0,0,1,1,1,0,RB,90,0,0
7,1,2007. 1. 28,"Jan 28, 2007",1,06/07,1,Villarreal CF,89,11,Villarreal CF,Villarreal  (11.),Real Madrid,Real Madrid  (3.),1:0,0,1,2,1,1,0,1,RB,60,0,0
7,2,2007. 2. 4,"Feb 4, 2007",1,06/07,0,Levante UD,46,18,Real Madrid,Real Madrid  (3.),Levante UD,Levante  (18.),0:1,0,1,2,0,1,1,0,CB,90,0,0
6,2,2007. 2. 10,"Feb 10, 2007",1,06/07,1,Real Sociedad,64,19,Real Sociedad,Real Sociedad  (19.),Real Madrid,Real Madrid  (4.),1:2,2,1,0,0,0,1,1,,90,0,0
7,2,2007. 2. 17,"Feb 17, 2007",1,06/07,0,Real Betis Balompié,62,15,Real Madrid,Real Madrid  (3.),Real Betis Balompié,Real Betis  (15.),0:0,0,0,1,2,0,1,1,RB,90,0,0
3,2,2007. 2. 20,"Feb 20, 2007",0,06/07,0,Bayern Munich,11,0,Real Madrid,Real Madrid,Bayern Munich,Bayern Munich,3:2,3,2,0,0,2,0,1,not in squad,74,0,0
5,2,2007. 2. 25,"Feb 25, 2007",1,06/07,1,Atlético Madrid,9,5,Atlético Madrid,Atlético Madrid  (5.),Real Madrid,Real Madrid  (3.),1:1,1,1,1,3,0,2,0,not in squad,0,0,0
7,3,2007. 3. 4,"Mar 4, 2007",1,06/07,0,Getafe CF,37,8,Real Madrid,Real Madrid  (3.),Getafe CF,Getafe  (8.),1:1,1,1,1,1,3,1,2,CB,0,0,0
3,3,2007. 3. 7,"Mar 7, 2007",0,06/07,1,Bayern Munich,11,0,Bayern Munich,Bayern Munich,Real Madrid,Real Madrid,2:1,1,2,2,1,1,1,1,CB,90,0,0
3,3,2007. 3. 10,"Mar 10, 2007",1,06/07,1,FC Barcelona,30,2,FC Barcelona,FC Barcelona  (2.),Real Madrid,Real Madrid  (4.),3:3,3,3,1,1,1,2,1,CB,90,0,0
8,3,2007. 3. 18,"Mar 18, 2007",1,06/07,0,Gimnàstic de Tarragona,38,19,Real Madrid,Real Madrid  (4.),Gimnàstic de Tarragona,Gimnàstic  (19.),2:0,2,0,0,3,1,3,2,not in squad,90,1,0
14,4,2007. 4. 1,"Apr 1, 2007",1,06/07,1,Celta de Vigo,20,17,Celta de Vigo,Celta de Vigo  (17.),Real Madrid,Real Madrid  (3.),1:2,2,1,0,2,3,0,3,CB,0,0,0
7,4,2007. 4. 8,"Apr 8, 2007",1,06/07,0,CA Osasuna,14,13,Real Madrid,Real Madrid  (3.),CA Osasuna,CA Osasuna  (13.),2:0,2,0,0,2,2,1,0,RB,90,0,0
6,4,2007. 4. 14,"Apr 14, 2007",1,06/07,1,Racing Santander,58,8,Racing Santander,Racing  (8.),Real Madrid,Real Madrid  (3.),2:1,1,2,2,2,2,0,1,RB,90,0,0
7,4,2007. 4. 21,"Apr 21, 2007",1,06/07,0,Valencia CF,87,4,Real Madrid,Real Madrid  (3.),Valencia CF,Valencia  (4.),2:1,2,1,0,1,2,2,0,CB,90,0,0
8,4,2007. 4. 29,"Apr 29, 2007",1,06/07,1,Athletic Bilbao,8,16,Athletic Bilbao,Athletic  (16.),Real Madrid,Real Madrid  (3.),1:4,4,1,0,2,1,1,2,CB,90,1,0
7,5,2007. 5. 6,"May 6, 2007",1,06/07,0,Sevilla FC,73,2,Real Madrid,Real Madrid  (3.),Sevilla FC,Sevilla FC  (2.),3:2,3,2,0,4,2,1,1,CB,90,1,0
6,5,2007. 5. 12,"May 12, 2007",1,06/07,0,RCD Espanyol Barcelona,60,11,Real Madrid,Real Madrid  (2.),RCD Espanyol Barcelona,Espanyol  (11.),4:3,4,3,0,3,4,2,1,CB,90,0,0
8,5,2007. 5. 20,"May 20, 2007",1,06/07,1,Recreativo Huelva,68,7,Recreativo Huelva,Recr. Huelva  (7.),Real Madrid,Real Madrid  (1.),2:3,3,2,0,4,3,3,2,,90,0,0
6,5,2007. 5. 26,"May 26, 2007",1,06/07,0,Deportivo de La Coruña,26,13,Real Madrid,Real Madrid  (1.),Deportivo de La Coruña,Dep. La Coruña  (13.),3:1,3,1,0,3,4,2,3,,90,0,0
14,6,2007. 6. 9,"Jun 9, 2007",1,06/07,1,Real Zaragoza,67,5,Real Zaragoza,Real Zaragoza  (5.),Real Madrid,Real Madrid  (1.),2:2,2,2,1,3,3,1,2,RB,90,1,0
8,6,2007. 6. 17,"Jun 17, 2007",1,06/07,0,RCD Mallorca,61,12,Real Madrid,Real Madrid  (1.),RCD Mallorca,RCD Mallorca  (12.),3:1,3,1,0,2,3,2,1,CB,90,0,1
69,8,2007. 8. 25,"Aug 25, 2007",1,07/08,0,Atlético Madrid,9,5,Real Madrid,Real Madrid  (1.),Atlético Madrid,Atlético Madrid  (5.),2:1,2,1,0,3,2,1,2,RB,90,0,0
8,9,2007. 9. 2,"Sep 2, 2007",1,07/08,1,Villarreal CF,89,3,Villarreal CF,Villarreal  (3.),Real Madrid,Real Madrid  (6.),0:5,5,0,0,2,3,1,1,RB,90,0,1
13,9,2007. 9. 15,"Sep 15, 2007",1,07/08,0,UD Almería,82,7,Real Madrid,Real Madrid  (1.),UD Almería,UD Almería  (7.),3:1,3,1,0,5,2,0,1,RB,90,0,1
3,9,2007. 9. 18,"Sep 18, 2007",0,07/08,0,SV Werder Bremen,80,0,Real Madrid,Real Madrid,SV Werder Bremen,Werder Bremen,2:1,2,1,0,3,5,1,0,RB,90,0,0
5,9,2007. 9. 23,"Sep 23, 2007",1,07/08,1,Real Valladolid CF,66,9,Real Valladolid CF,Real Valladolid  (9.),Real Madrid,Real Madrid  (1.),1:1,1,1,1,2,3,1,1,CB,90,0,0
4,9,2007. 9. 27,"Sep 27, 2007",1,07/08,0,Real Betis Balompié,62,18,Real Madrid,Real Madrid  (1.),Real Betis Balompié,Real Betis  (18.),2:0,2,0,0,1,2,1,1,RB,90,0,0
3,9,2007. 9. 30,"Sep 30, 2007",1,07/08,1,Getafe CF,37,19,Getafe CF,Getafe  (19.),Real Madrid,Real Madrid  (1.),0:1,1,0,0,2,1,0,1,CB,90,0,0
3,10,2007. 10. 3,"Oct 3, 2007",0,07/08,1,SS Lazio,77,0,SS Lazio,Lazio,Real Madrid,Real Madrid,2:2,2,2,1,1,2,0,0,RB,90,1,0
4,10,2007. 10. 7,"Oct 7, 2007",1,07/08,0,Recreativo Huelva,68,10,Real Madrid,Real Madrid  (1.),Recreativo Huelva,Recr. Huelva  (10.),2:0,2,0,0,2,1,2,0,RB,90,0,0
13,10,2007. 10. 20,"Oct 20, 2007",1,07/08,1,RCD Espanyol Barcelona,60,5,RCD Espanyol Barcelona,Espanyol  (5.),Real Madrid,Real Madrid  (1.),2:1,1,2,2,2,2,0,2,RB,90,0,0
4,10,2007. 10. 24,"Oct 24, 2007",0,07/08,0,Olympiacos Piraeus,53,0,Real Madrid,Real Madrid,Olympiacos Piraeus,Olympiacos,4:2,4,2,0,1,2,2,0,CB,90,1,0
4,10,2007. 10. 28,"Oct 28, 2007",1,07/08,0,Deportivo de La Coruña,26,16,Real Madrid,Real Madrid  (1.),Deportivo de La Coruña,Dep. La Coruña  (16.),3:1,3,1,0,4,1,2,2,CB,90,0,0
3,10,2007. 10. 31,"Oct 31, 2007",1,07/08,1,Valencia CF,87,4,Valencia CF,Valencia  (4.),Real Madrid,Real Madrid  (1.),1:5,5,1,0,3,4,1,2,RB,90,0,0
3,11,2007. 11. 3,"Nov 3, 2007",1,07/08,1,Sevilla FC,73,10,Sevilla FC,Sevilla FC  (10.),Real Madrid,Real Madrid  (1.),2:0,0,2,2,5,3,1,1,RB,73,1,0
3,11,2007. 11. 6,"Nov 6, 2007",0,07/08,1,Olympiacos Piraeus,53,0,Olympiacos Piraeus,Olympiacos,Real Madrid,Real Madrid,0:0,0,0,1,0,5,2,1,RB,51,0,0
5,11,2007. 11. 11,"Nov 11, 2007",1,07/08,0,RCD Mallorca,61,10,Real Madrid,Real Madrid  (1.),RCD Mallorca,RCD Mallorca  (10.),4:3,4,3,0,0,0,0,2,not in squad,90,0,0
13,11,2007. 11. 24,"Nov 24, 2007",1,07/08,1,Real Murcia CF,63,14,Real Murcia CF,Real Murcia  (14.),Real Madrid,Real Madrid  (1.),1:1,1,1,1,4,0,3,0,RB,0,0,0
4,11,2007. 11. 28,"Nov 28, 2007",0,07/08,1,SV Werder Bremen,80,0,SV Werder Bremen,Werder Bremen,Real Madrid,Real Madrid,3:2,2,3,2,1,4,1,3,RB,90,0,0
3,12,2007. 12. 1,"Dec 1, 2007",1,07/08,0,Racing Santander,58,7,Real Madrid,Real Madrid  (1.),Racing Santander,Racing  (7.),3:1,3,1,0,2,1,3,1,RB,90,0,0
7,12,2007. 12. 8,"Dec 8, 2007",1,07/08,1,Athletic Bilbao,8,11,Athletic Bilbao,Athletic  (11.),Real Madrid,Real Madrid  (1.),0:1,1,0,0,3,2,1,3,RB,90,0,0
3,12,2007. 12. 11,"Dec 11, 2007",0,07/08,0,SS Lazio,77,0,Real Madrid,Real Madrid,SS Lazio,Lazio,3:1,3,1,0,1,3,0,1,RB,90,0,0
5,12,2007. 12. 16,"Dec 16, 2007",1,07/08,0,CA Osasuna,14,14,Real Madrid,Real Madrid  (1.),CA Osasuna,CA Osasuna  (14.),2:0,2,0,0,3,1,1,0,RB,90,0,0
3,12,2007. 12. 19,"Dec 19, 2007",2,07/08,1,Alicante CF (liq.),4,21,Alicante CF (liq.),Alicante CF,Real Madrid,Real Madrid,1:1,1,1,1,2,3,0,1,not in squad,90,0,0
4,12,2007. 12. 23,"Dec 23, 2007",1,07/08,1,FC Barcelona,30,2,FC Barcelona,FC Barcelona  (2.),Real Madrid,Real Madrid  (1.),0:1,1,0,0,1,2,1,0,RB,0,0,0
10,1,2008. 1. 2,"Jan 2, 2008",2,07/08,0,Alicante CF (liq.),4,21,Real Madrid,Real Madrid,Alicante CF (liq.),Alicante CF,2:1,2,1,0,1,1,0,1,CB,88,0,0
4,1,2008. 1. 6,"Jan 6, 2008",1,07/08,0,Real Zaragoza,67,9,Real Madrid,Real Madrid  (1.),Real Zaragoza,Real Zaragoza  (9.),2:0,2,0,0,2,1,1,0,RB,90,0,0
4,1,2008. 1. 10,"Jan 10, 2008",2,07/08,1,RCD Mallorca,61,21,RCD Mallorca,RCD Mallorca,Real Madrid,Real Madrid,2:1,1,2,2,2,2,0,1,,90,0,0
